,Term,Documents
216,"1,600,000",['280']
217,"1,628",['305']
218,"1,655.8",['006']
219,"1,656,000",['478']
220,"1,666,313",['366']
221,"1,686",['305']
222,"1,699,124",['500']
223,"1,700","['132', '375']"
224,"1,709",['439']
225,"1,710,000",['140']
226,"1,712,000",['115']
227,"1,715,000",['092']
228,"1,750",['001']
229,"1,776,000",['474']
230,"1,780","['001', '305']"
231,"1,780,000",['363']
232,"1,794",['305']
233,"1,800",['327']
234,"1,807,000",['275']
235,"1,850","['001', '320']"
236,"1,850,000",['046']
237,"1,870",['001']
238,"1,875",['001']
239,"1,880","['001', '001']"
240,"1,894,764","['122', '249']"
241,"1,900,000",['280']
242,"1,956,214",['245']
243,"1,974,529",['245']
244,"1,977",['437']
245,"1,995",['206']
246,1.00,['023']
247,1.01,"['193', '470']"
248,1.02,"['110', '193']"
249,1.03,['194']
250,1.030,['122']
251,1.04,"['090', '372']"
252,1.05,"['235', '370']"
253,1.06,"['001', '038']"
254,1.07,['168']
255,1.08,"['370', '440']"
256,1.09,"['336', '372']"
257,1.1,"['038', '262', '349', '483']"
258,1.10,"['040', '215']"
259,1.11,"['090', '210']"
260,1.12,"['065', '194']"
261,1.125,['138']
262,1.14,"['227', '412']"
263,1.15,"['197', '204', '215', '370']"
264,1.16,['333']
265,1.18,['199']
266,1.19,"['011', '045']"
267,1.2,"['133', '297', '304', '454']"
268,1.20,"['197', '210']"
269,1.21,['027']
270,1.22,"['038', '042', '370']"
271,1.225,['122']
272,1.23,['168']
273,1.24,['005']
274,1.25,"['001', '001', '001', '081', '081', '213', '227', '402', '482', '496']"
275,1.27,['018']
276,1.28,"['040', '370']"
277,1.29,['279']
278,1.3,"['066', '123', '257', '358', '425']"
279,1.30,['197']
280,1.34,"['090', '097', '174']"
281,1.35,"['005', '210']"
282,1.36,"['221', '405']"
283,1.38,['194']
284,1.4,"['018', '066', '098', '192', '192', '192', '257', '358']"
285,1.4375,"['368', '368']"
286,1.46,['279']
287,1.495,['256']
288,1.5,"['038', '054', '057', '057', '257', '257', '262', '262', '320', '326', '448', '476', '476', '494']"
289,1.50,"['010', '178', '207', '448']"
290,1.51,['452']
291,1.52,"['372', '372']"
292,1.53,"['018', '027', '194']"
293,1.55,"['201', '210', '402']"
294,1.56,['005']
295,1.57,['365']
296,1.59,['014']
297,1.6,"['033', '151', '343', '423', '448']"
298,1.61,['452']
299,1.65,['005']
300,1.66,['221']
301,1.69,['496']
302,1.7,"['085', '197', '281']"
303,1.70,"['207', '448']"
304,1.71,"['271', '496']"
305,1.75,"['184', '496']"
306,1.76,['271']
307,1.78,['194']
308,1.8,"['175', '219', '303', '425', '425']"
309,1.80,"['094', '167', '197', '207', '448']"
310,1.83,['393']
311,1.87,"['375', '405']"
312,1.89,['482']
313,1.9,"['081', '193', '250']"
314,1.90,['201']
315,1.92,['005']
316,1.93,['164']
317,1.94,"['090', '140', '174', '402']"
318,1.96,['402']
319,1.98,['238']
320,1/3,['195']
321,1/4,['195']
322,1/8,"['004', '016']"
323,1/februari,['482']
324,10,"['006', '006', '007', '024', '039', '045', '079', '091', '097', '107', '172', '182', '188', '209', '226', '234', '236', '236', '262', '276', '284', '295', '298', '301', '318', '326', '350', '359', '362', '385', '391', '408', '421', '425', '428', '433', '433', '434', '440', '453', '465', '484', '484']"
325,10 1/4,"['083', '083']"
326,10 12,['249']
327,10 13/16,"['165', '165', '215']"
328,10 3/4,"['196', '196', '307']"
329,10 3/8,['329']
330,10 5/16,['329']
331,10 7/8,"['165', '215']"
332,10 year,['138']
333,"10,000",['435']
334,"10,253",['299']
335,"10,502",['200']
336,"10,572,402","['122', '249']"
337,"10,694,081",['092']
338,10.1,"['045', '425']"
339,10.3,['275']
340,10.4,"['086', '124', '219', '467']"
341,10.42,['094']
342,10.48,['367']
343,10.5,"['144', '145', '227', '328', '341']"
344,10.572,['122']
345,10.6,"['026', '074', '196', '485']"
346,10.62,['375']
347,10.661,['364']
348,10.7,['284']
349,10.8,"['267', '305', '377']"
350,10.83,"['439', '439']"
351,10.89,['367']
352,10.9,['092']
353,100,"['005', '035', '035', '059', '103', '138', '200', '239', '261', '263', '266', '312', '338', '348', '359', '383', '388', '399', '434', '466']"
354,100 26/32,['133']
355,100 4/32,['133']
356,"100,000","['078', '316', '317', '343']"
357,"100,700",['343']
358,100.4,['335']
359,100.9,['006']
360,1000,['286']
361,101,['452']
362,101 1/2,"['397', '472']"
363,101 1/4,['143']
364,101 3/32,['133']
365,101 3/4,['222']
366,"101,020",['122']
367,101.2,['467']
368,102,"['133', '397']"
369,102.1,['335']
370,102.5,['007']
371,"103,700",['482']
372,1030,['286']
373,104,"['160', '491']"
374,"104,606,000",['066']
375,"104,874",['366']
376,"104,952",['305']
377,104.3,['410']
378,104.40,['239']
379,104.6,['358']
380,105,['198']
381,105.7,['197']
382,105.9,['455']
383,1057,['473']
384,107.2,"['429', '429']"
385,107.3,['006']
386,107.77,['058']
387,108,"['060', '113', '155']"
388,109,['047']
389,109.4,['184']
390,10:00:29.72,['279']
391,10:00:52.96,['290']
392,10:00:57.16,['341']
393,10:01:14.42,['342']
394,10:01:44.44,['280']
395,10:02:11.63,['343']
396,10:02:22.46,['344']
397,10:02:32.72,['331']
398,10:02:53.85,['332']
399,10:03:24.09,['333']
400,10:03:43.41,['334']
401,10:04:23.59,['335']
402,10:04:32.26,['336']
403,10:04:36.77,['337']
404,10:05:25.49,['338']
405,10:05:32.60,['345']
406,10:07:42.19,['346']
407,10:08:28.26,['347']
408,10:09:59.43,['339']
409,10:11:50.97,['340']
410,10:12:44.89,['348']
411,10:13:13.34,['391']
412,10:13:54.12,['392']
413,10:14:49.98,['349']
414,10:15:06.95,['350']
415,10:15:44.63,['393']
416,10:16:12.11,['402']
417,10:16:24.19,['403']
418,10:17:43.59,['404']
419,10:17:54.70,['394']
420,10:18:25.05,['395']
421,10:18:32.34,['396']
422,10:18:46.99,['397']
423,10:18:51.21,['398']
424,10:20:40.73,['399']
425,10:20:45.46,['405']
426,10:21:29.06,['400']
427,10:21:41.00,['401']
428,10:22:24.09,['451']
429,10:22:36.39,['452']
430,10:22:52.88,['453']
431,10:23:39.80,['406']
432,10:24:42.04,['454']
433,10:26:01.21,['455']
434,10:26:54.83,['456']
435,10:27:17.51,['457']
436,10:28:58.48,['458']
437,10:29:08.77,['459']
438,10:29:32.44,['407']
439,10:29:32.48,['460']
440,10:30:15.23,['461']
441,10:30:54.88,['462']
442,10:31:02.83,['463']
443,10:31:10.05,['408']
444,10:31:43.52,['464']
445,10:32:15.36,['409']
446,10:32:49.32,['465']
447,10:33:14.32,['466']
448,10:33:48.56,['410']
449,10:33:53.46,['467']
450,10:34:47.47,['471']
451,10:34:53.47,['468']
452,10:35:22.38,['472']
453,10:35:30.66,['469']
454,10:35:58.91,['470']
455,10:38:44.01,['474']
456,10:39:00.13,['475']
457,10:40:22.86,['476']
458,10:40:34.06,['477']
459,10:41:05.96,['478']
460,10:41:11.13,['479']
461,10:41:36.86,['480']
462,10:41:41.92,['481']
463,10:44:50.56,['482']
464,10:46:56.99,['483']
465,10:47:04.45,['484']
466,10:51:22.13,['485']
467,10:51:40.11,['486']
468,10:53:04.16,['487']
469,10:56:04.53,['488']
470,10:58:14.10,['489']
471,10:59:14.04,['490']
472,11,"['006', '013', '024', '107', '144', '159', '168', '176', '196', '250', '255', '257', '266', '277', '330', '364', '415', '454', '467', '494']"
473,11 1 1,['141']
474,11 1/2,"['004', '016', '126', '239', '239']"
475,11 3/4,['195']
476,11 5/8,['045']
477,11 mar 1987,"['111', '117', '131', '132', '133', '134', '135', '136', '137', '138', '139', '140', '191', '192', '193', '194', '195', '196', '197', '198', '199', '200', '251', '252', '253', '254', '255', '256', '257', '258', '259', '260', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '371', '372', '373', '374', '375']"
478,"11,000","['288', '288']"
479,"11,200",['200']
480,"11,254,837","['122', '249', '249']"
481,"11,382",['175']
482,"11,464",['200']
483,11.06,['399']
484,11.2,['396']
485,11.25,['210']
486,11.3,"['176', '186', '401']"
487,11.39,['399']
488,11.4,"['092', '193', '305']"
489,11.5,['262']
490,11.586,['364']
491,11.6,"['115', '393', '425']"
492,11.7,"['186', '212']"
493,110,"['196', '307']"
494,"110,000",['091']
495,"110,311,000",['066']
496,110.3,['358']
497,110.6,['177']
498,111,"['215', '271']"
499,111.2,"['177', '180']"
500,111.8,['006']
501,112 1/2,['059']
502,113.2,['455']
503,113.6,['460']
504,114,['079']
505,115,"['207', '448']"
506,116,['365']
507,"116,000",['122']
508,116.84,['109']
509,"117,866",['069']
510,117.6,['006']
511,"119,000",['442']
512,"119,100",['343']
513,119.05,['019']
514,12,"['004', '006', '013', '016', '024', '033', '041', '042', '047', '066', '066', '075', '085', '086', '123', '138', '143', '143', '158', '188', '196', '221', '267', '294', '302', '303', '321', '326', '336', '336', '350', '358', '358', '364', '364', '364', '364', '367', '367', '367', '376', '386', '417', '425', '425', '425', '425', '451', '453', '467', '478', '494', '500']"
515,12 1/2,['235']
516,12 hour,['314']
517,12 inch,"['265', '348', '348']"
518,12 mar 1987,"['376', '377', '378', '379', '380', '431', '432', '433', '434', '435', '436', '437', '438', '439', '440']"
519,12 month,['107']
520,12 nation,['269']
521,12 point,['383']
522,12 year,['210']
523,"12,141,000",['159']
524,"12,500","['109', '109']"
525,"12,589,000",['184']
526,"12,801,000",['275']
527,"12,842",['212']
528,12.05,"['402', '402']"
529,12.1,"['086', '262', '343', '347']"
530,12.2,"['064', '232']"
531,12.3,"['167', '267']"
532,12.38,"['402', '440']"
533,12.4,['347']
534,12.5,['464']
535,12.6,"['014', '115', '261', '305', '347']"
536,12.7,"['274', '343', '456']"
537,12.75,['094']
538,12.8,['233']
539,120,"['059', '162', '162', '165', '397']"
540,120.1,['393']
541,120.8,['107']
542,121,['348']
543,"121,168",['069']
544,121.3,['107']
545,122,['436']
546,"122,700",['469']
547,"124,000",['186']
548,125,"['059', '059', '059', '138', '207', '448', '472', '472']"
549,"125,000","['070', '442']"
550,125.59,['377']
551,126.7,['500']
552,126.8,['184']
553,"127,100",['343']
554,127.3,['485']
555,"129,000","['092', '442']"
556,13,"['006', '023', '036', '049', '071', '081', '115', '120', '156', '176', '207', '207', '209', '230', '237', '267', '278', '280', '300', '319', '338', '338', '341', '412', '448', '448', '451', '453', '482', '486', '486']"
557,13 1 1,['318']
558,13 bank,['235']
559,13 day old,['437']
560,13 mar 1987,"['112', '118', '122', '123', '124', '125', '126', '127', '128', '129', '130', '181', '182', '183', '184', '185', '186', '187', '188', '189', '190', '241', '242', '243', '244', '245', '246', '247', '248', '249', '250', '301', '302', '303', '304', '305', '306', '307', '308', '309', '310', '361', '362', '363', '364', '365', '366', '367', '368', '369', '370', '421', '422', '423', '424', '425', '426', '427', '428', '429', '430']"
561,"13,000","['152', '167', '288']"
562,"13,036",['203']
563,"13,272",['200']
564,"13,400",['200']
565,"13,555,000",['066']
566,"13,585",['305']
567,13.1,"['193', '279', '339']"
568,13.16,['093']
569,13.2,['006']
570,13.3,['261']
571,13.4,['425']
572,13.49,['239']
573,13.5,"['003', '168', '358', '369', '369', '451']"
574,13.6,['238']
575,13.7,"['212', '336']"
576,13.8,"['115', '221']"
577,13.89,['224']
578,13.9,['363']
579,130,"['207', '376', '448']"
580,"130,998",['166']
581,130.2,['500']
582,131,['097']
583,"131,000",['442']
584,131.4,['041']
585,132 1/2,"['059', '059']"
586,"132,000",['011']
587,133,['405']
588,"133,071",['309']
589,"133,265",['482']
590,133.3,['412']
591,133.5,['452']
592,133.75,['332']
593,134,['332']
594,135,"['059', '059']"
595,136.4,['412']
596,136.50,['332']
597,137 1/2,['059']
598,137.39,['332']
599,137.93,['332']
600,138,['383']
601,138.9,['041']
602,139.2,['393']
603,14,"['086', '097', '115', '140', '146', '168', '184', '195', '195', '210', '220', '224', '250', '257', '275', '350', '378', '485']"
604,14 bank,"['314', '492']"
605,14 inch,"['265', '348']"
606,"14,001",['203']
607,"14,635,000",['066']
608,"14,734,000",['275']
609,"14,966",['212']
610,14.1,['115']
611,14.4,"['193', '305']"
612,14.5,"['006', '029']"
613,14.6,"['233', '358']"
614,14.8,"['054', '425']"
615,14.9,['377']
616,14.94,['194']
617,140,"['110', '124', '192']"
618,140.25,['332']
619,141,['401']
620,141.50,['332']
621,142.95,['332']
622,145,"['260', '260']"
623,145.3,['006']
624,146,"['207', '308', '448']"
625,"148,007",['309']
626,149,['039']
627,149.40,['377']
628,149.8,['006']
629,15,"['001', '006', '012', '024', '040', '040', '049', '051', '081', '096', '097', '107', '135', '163', '181', '181', '189', '201', '209', '219', '220', '230', '234', '237', '241', '245', '250', '253', '283', '289', '305', '318', '323', '337', '340', '376', '383', '398', '408', '433', '450', '450', '463', '465', '466', '475', '475', '481', '492']"
630,15 20,"['004', '016']"
631,15 april,['109']
632,"15,000","['276', '276']"
633,"15,229",['437']
634,"15,565",['305']
635,"15,900,000",['336']
636,15.08,['433']
637,15.14,['433']
638,15.33,['227']
639,15.4,"['115', '120', '423']"
640,15.50,"['207', '448']"
641,15.6,['375']
642,15.7,"['168', '303', '410', '425']"
643,15.75,['034']
644,15.8,"['014', '292', '292', '292']"
645,15.9,"['006', '074']"
646,15.96,['433']
647,150,"['047', '185', '185', '194', '207', '207', '222', '222', '265', '295', '348', '348', '397', '397', '439', '448', '448']"
648,"150,000","['252', '348', '348', '432', '436']"
649,"150,125,000",['394']
650,151.1,"['013', '056']"
651,151.7,['336']
652,151.9,['058']
653,152,"['177', '395']"
654,153.1,['336']
655,153.49,['377']
656,154.2,['410']
657,155,"['095', '308']"
658,"155,221",['001']
659,"156,124",['236']
660,"159,784",['366']
661,15:01:01.79,['001']
662,15:02:20.00,['002']
663,15:03:27.51,['003']
664,15:05:02.92,['112']
665,15:07:13.72,['004']
666,15:08:53.08,['118']
667,15:10:44.60,['005']
668,15:11:52.98,['122']
669,15:13:01.16,['123']
670,15:13:10.18,['124']
671,15:14:20.63,['125']
672,15:14:36.41,['006']
673,15:14:42.83,['007']
674,15:15:40.12,['008']
675,15:17:11.20,['009']
676,15:18:06.67,['010']
677,15:18:59.34,['011']
678,15:19:10.06,['126']
679,15:19:15.45,['012']
680,15:20:13.09,['013']
681,15:20:20.42,['127']
682,15:20:27.17,['014']
683,15:20:48.43,['015']
684,15:21:16.13,['016']
685,15:21:39.08,['128']
686,15:21:47.30,['129']
687,15:21:53.56,['130']
688,15:22:36.13,['181']
689,15:24:00.88,['182']
690,15:24:48.56,['017']
691,15:25:16.54,['183']
692,15:26:26.78,['018']
693,15:26:54.12,['019']
694,15:32:03.12,['020']
695,15:32:32.81,['184']
696,15:32:42.51,['185']
697,15:33:23.61,['021']
698,15:34:07.03,['022']
699,15:34:07.21,['186']
700,15:34:16.30,['023']
701,15:35:16.67,['024']
702,15:35:39.38,['025']
703,15:36:44.78,['026']
704,15:36:53.42,['027']
705,15:38:11.97,['187']
706,15:38:26.23,['028']
707,15:39:02.46,['188']
708,15:39:21.46,['189']
709,15:39:34.41,['190']
710,15:39:41.92,['029']
711,15:40:26.67,['241']
712,15:41:31.04,['242']
713,15:41:46.52,['243']
714,15:41:56.54,['030']
715,15:42:09.99,['244']
716,15:43:14.36,['031']
717,15:43:59.53,['032']
718,15:44:36.04,['033']
719,15:45:19.65,['034']
720,15:45:20.31,['245']
721,15:45:26.55,['035']
722,15:45:27.49,['246']
723,15:45:35.37,['036']
724,15:45:35.38,['247']
725,15:45:39.20,['037']
726,15:45:47.29,['038']
727,15:46:36.16,['039']
728,15:47:16.17,['040']
729,15:47:27.24,['248']
730,15:47:50.80,['249']
731,15:48:26.92,['041']
732,15:48:34.01,['250']
733,15:49:27.16,['042']
734,15:49:44.93,['043']
735,15:49:56.01,['044']
736,15:51:17.84,['045']
737,15:51:28.42,['046']
738,15:51:51.24,['047']
739,15:52:15.10,['048']
740,15:52:25.60,['049']
741,15:52:33.04,['050']
742,15:52:33.91,['301']
743,15:52:57.49,['051']
744,15:53:05.48,['052']
745,15:53:40.40,['302']
746,15:53:54.56,['053']
747,15:54:21.09,['303']
748,15:54:55.20,['054']
749,15:55:47.33,['304']
750,15:56:00.50,['055']
751,15:56:03.81,['305']
752,15:56:39.68,['306']
753,15:57:48.22,['056']
754,15:58:07.34,['057']
755,15:58:19.46,['058']
756,15:58:47.73,['059']
757,15:59:24.64,['307']
758,15:59:41.96,['308']
759,16,"['074', '084', '099', '154', '164', '194', '199', '237', '245', '280', '305', '314', '323', '335', '350', '365', '414', '421', '444', '464', '475']"
760,16 18,"['195', '399']"
761,16 megabyt,['265']
762,"16,000",['024']
763,"16,568,000",['069']
764,16.00,['178']
765,16.1,"['024', '425']"
766,16.13,['433']
767,16.2,"['078', '433']"
768,16.4,['444']
769,16.5,"['212', '245']"
770,16.50,"['207', '448']"
771,16.6,['120']
772,16.7,"['425', '433']"
773,16.74,['093']
774,16.9,['074']
775,160,['266']
776,"160,109",['236']
777,"160,253",['137']
778,"161,000",['225']
779,163.8,"['261', '485']"
780,1630,['080']
781,16377,['473']
782,164,['381']
783,164.6,['006']
784,165,"['078', '333']"
785,166,['329']
786,"166,000",['120']
787,166.1,['006']
788,167,['401']
789,"167,700",['482']
790,167.25,['135']
791,"168,000",['221']
792,169,"['254', '340', '463']"
793,16:00:21.17,['309']
794,16:03:15.46,['060']
795,16:04:05.90,['061']
796,16:04:57.16,['062']
797,16:05:31.61,['310']
798,16:05:36.23,['063']
799,16:05:38.71,['361']
800,16:06:21.90,['362']
801,16:06:36.68,['064']
802,16:06:58.01,['363']
803,16:07:06.10,['364']
804,16:07:14.07,['065']
805,16:07:27.81,['066']
806,16:07:38.14,['365']
807,16:08:15.22,['067']
808,16:08:33.15,['068']
809,16:08:43.39,['366']
810,16:09:02.87,['367']
811,16:10:20.88,['368']
812,16:10:43.67,['069']
813,16:10:59.71,['369']
814,16:11:18.64,['370']
815,16:11:21.94,['070']
816,16:12:01.46,['071']
817,16:12:28.42,['421']
818,16:13:04.20,['072']
819,16:13:36.47,['073']
820,16:14:23.26,['074']
821,16:14:48.69,['422']
822,16:15:15.79,['423']
823,16:15:51.34,['075']
824,16:16:52.92,['076']
825,16:17:16.42,['424']
826,16:17:21.41,['077']
827,16:18:41.47,['078']
828,16:20:06.60,['079']
829,16:20:50.93,['080']
830,16:22:34.56,['425']
831,16:23:47.79,['081']
832,16:25:23.18,['082']
833,16:25:42.65,['083']
834,16:26:09.46,['084']
835,16:26:35.20,['426']
836,16:27:07.38,['085']
837,16:27:23.99,['427']
838,16:28:15.51,['428']
839,16:29:15.25,['086']
840,16:29:19.68,['087']
841,16:29:30.05,['088']
842,16:29:46.00,['429']
843,16:29:56.33,['089']
844,16:31:43.02,['430']
845,16:31:44.49,['090']
846,16:32:37.30,['091']
847,16:33:15.81,['092']
848,16:35:16.02,['093']
849,16:38:46.25,['094']
850,16:40:00.82,['095']
851,16:40:34.32,['096']
852,16:41:34.44,['097']
853,16:43:13.65,['098']
854,16:44:35.29,['099']
855,16:45:08.59,['100']
856,16:45:44.50,['101']
857,16:47:45.09,['102']
858,16:47:53.20,['103']
859,16:48:02.07,['104']
860,16:48:18.55,['105']
861,16:48:26.74,['113']
862,16:48:35.83,['119']
863,16:48:40.42,['171']
864,16:48:55.38,['172']
865,16:50:26.50,['173']
866,16:57:27.21,['174']
867,16:58:09.48,['175']
868,16:59:25.38,['176']
869,16:59:41.32,['177']
870,17,"['037', '091', '199', '219', '229', '257', '292', '344', '376', '416', '436', '453']"
871,17.00,['334']
872,17.05,['172']
873,17.1,"['336', '376']"
874,17.18,['093']
875,17.25,['172']
876,17.4,['425']
877,17.5,"['168', '267']"
878,17.6,['168']
879,17.7,['275']
880,17.8,['363']
881,170,"['078', '155', '205']"
882,172,['427']
883,173,['288']
884,"173,000",['151']
885,"173,500",['383']
886,174.3,['194']
887,"175,000",['109']
888,"175,691",['233']
889,"175,900",['119']
890,177,"['445', '458']"
891,17:00:56.04,['178']
892,17:01:28.10,['179']
893,17:05:08.18,['180']
894,17:06:06.68,['231']
895,17:08:27.52,['232']
896,17:09:47.78,['233']
897,17:11:01.51,['234']
898,17:11:26.97,['235']
899,17:24:42.88,['236']
900,17:32:15.34,['237']
901,17:32:49.67,['238']
902,17:33:05.21,['239']
903,17:33:25.81,['240']
904,17:33:29.55,['291']
905,17:34:11.89,['292']
906,17:34:23.04,['293']
907,17:34:40.53,['294']
908,17:34:45.19,['295']
909,17:34:52.72,['296']
910,17:35:19.17,['297']
911,17:35:52.41,['298']
912,17:35:59.59,['299']
913,17:36:04.21,['300']
914,17:36:22.14,['351']
915,17:36:45.13,['352']
916,17:37:22.69,['353']
917,17:37:57.87,['354']
918,17:38:47.04,['355']
919,17:41:08.82,['356']
920,17:42:11.10,['357']
921,17:43:30.51,['358']
922,17:43:44.41,['359']
923,17:43:59.12,['360']
924,17:44:04.81,['411']
925,17:44:10.05,['412']
926,17:44:15.81,['413']
927,17:44:19.38,['414']
928,17:44:33.62,['415']
929,17:45:00.59,['416']
930,17:45:27.43,['417']
931,17:46:34.09,['418']
932,17:50:20.87,['419']
933,17:51:17.75,['420']
934,17:51:29.26,['491']
935,17:55:36.88,['492']
936,17:57:05.23,['493']
937,17:59:30.27,['494']
938,18,"['037', '076', '079', '159', '186', '189', '189', '207', '245', '257', '284', '303', '305', '417', '425', '448', '448', '453', '470', '498']"
939,18.1,"['124', '193']"
940,18.4,"['207', '401', '444', '448']"
941,18.49,['081']
942,18.5,"['325', '365']"
943,18.50,['133']
944,18.6,"['040', '201']"
945,180,['205']
946,181,['138']
947,182,['264']
948,182.4,['006']
949,183,['264']
950,"184,649,000",['065']
951,184.62,['377']
952,"186,790,000",['066']
