,Words,Total Frequency
479,"1,655.8",1
480,feb,26
481,872.0,1
482,164.6,1
483,"2,692.4",1
484,"4,161.0",1
485,maiz,7
486,mar,8
487,48.0,2
488,nil,18
489,sunflowerse,2
490,15.0,4
491,7.9,3
492,soybean,8
493,20.0,3
494,detail,23
495,subproduct,2
496,39.9,1
497,48.7,1
498,13.2,1
499,apr,7
500,10.0,8
501,111.8,1
502,82.7,1
503,linse,1
504,34.8,1
505,32.9,1
506,6.8,5
507,6.3,7
508,80.8,1
509,87.4,1
510,100.9,1
511,45.1,1
512,166.1,1
513,218.5,1
514,48.6,1
515,61.5,1
516,25.1,1
517,14.5,2
518,149.8,1
519,145.3,1
520,veget,9
521,sunoil,1
522,37.4,1
523,107.3,1
524,24.5,1
525,3.2,5
526,jun,2
527,182.4,1
528,117.6,1
529,linoil,1
530,15.9,2
531,23.6,1
532,20.4,1
533,2.0,3
534,61.8,1
535,76.1,1
536,3.7,2
537,21.1,1
538,9.0,1
539,13.0,1
540,jul,1
541,7.0,4
542,55.8,1
543,33.7,1
544,15:14:42.83,1
545,red,7
546,lion,3
547,inn,4
548,partnership,7
549,statement,47
550,"4,790,000",1
551,20,39
552,proce,16
553,102.5,1
554,mortgag,14
555,use,64
556,financ,69
557,acquisit,42
558,10,35
559,hotel,13
560,15:15:40.12,1
561,usx,14
562,dowgrad,1
563,moodi,5
564,investor,23
565,seven,16
566,affect,18
567,marathon,3
568,establish,9
569,facil,11
570,prolif,1
571,yate,1
572,field,5
573,signific,12
574,neg,6
575,implic,2
576,unsecur,1
577,appear,10
578,posit,28
579,steel,13
580,segment,1
581,return,16
582,profit,140
583,1987,121
584,ad,72
585,senior,29
586,ba-1,1
587,baa-3,1
588,15:17:11.20,1
589,champion,2
590,ch,1
591,split,24
592,director,26
593,two-for-on,5
594,common,68
595,share,276
596,sharehold,49
597,record,65
598,april,76
599,1,29
600,vote,35
601,annual,28
602,meet,59
603,increas,109
604,author,32
605,capit,65
606,five,55
607,15:18:06.67,1
608,comput,30
609,termin,13
610,system,102
611,cpml,1
612,complet,33
613,"200,000",6
614,warrant,28
615,acquir,39
616,addit,37
617,sedio,2
618,n.v,2
619,lugano,1
620,switzerland,6
621,"50,000",7
622,exercis,11
623,purchas,27
624,.125,1
625,right,19
626,buy,61
627,40,26
628,outstand,23
629,certain,17
630,involv,16
631,chang,30
632,control,36
633,occur,7
634,equal,10
635,75,6
636,exceed,9
637,1.50,4
638,technolgi,1
639,dot,1
640,matrix,1
641,impact,17
642,technolog,44
643,woodco,2
644,houston,1
645,tex,5
646,exclus,5
647,worldwid,4
648,license,2
649,move,40
650,reorgan,2
651,help,37
652,cost,45
653,ensur,4
654,deliveri,10
655,gener,69
656,label,1
657,tag,1
658,ticket,1
659,printer,2
660,15:18:59.34,1
661,cobanco,1
662,cbco,1
663,net,190
664,shr,142
665,34,6
666,ct,252
667,1.19,2
668,"807,000",1
669,"2,858,000",1
670,510.2,1
671,479.7,1
672,472.3,1
673,440.3,1
674,299.2,1
675,327.2,1
676,4th,40
677,qtr,63
678,1985,62
679,extraordinari,15
680,gain,44
681,tax,70
682,carri,16
683,forward,1
684,"132,000",1
685,15:19:15.45,1
686,ohio,6
687,mattress,2
688,omt,1
689,1st,7
690,2.4,2
691,earn,57
692,fiscal,32
693,declin,47
694,due,75
695,expens,7
696,relat,10
697,middl,6
698,seali,2
699,82,1
700,substanti,11
701,high,62
702,67.1,1
703,typic,3
704,result,52
705,administr,23
706,consider,8
707,conduct,8
708,apprais,6
709,connect,2
710,15:20:13.09,1
711,intern,89
712,2nd,3
713,jan,18
714,two,111
715,"442,000",1
716,"2,986,000",1
717,rev,82
718,291.8,2
719,151.1,2
720,51.7,1
721,43.4,1
722,six,40
723,mth,16
724,"3,376,000",1
725,"5,086,000",1
726,569.3,1
727,298.5,1
728,51.6,1
729,41.1,1
730,calcul,3
731,dividend,51
732,exclud,22
733,credit,66
734,"2,227,000",1
735,four,50
736,"4,841,000",1
737,nine,29
738,"2,285,000",1
739,"4,104,000",1
740,prior,30
741,carryforward,2
742,15:20:27.17,1
743,brown-forman,7
744,bfd,1
745,73,1
746,12.6,5
747,15.8,4
748,337.3,1
749,315.2,1
750,3.07,3
751,3.08,2
752,66,7
753,66.2,2
754,1.59,1
755,997.1,1
756,15:20:48.43,1
757,intergroup,3
758,nii,1
759,permian,5
760,partner,11
761,l.p,5
762,busi,56
763,retain,5
764,stake,33
765,mani,16
766,15:21:16.13,1
767,econom,47
768,spotlight,3
769,15:24:48.56,1
770,health,11
771,enhanc,8
772,nhe,1
773,program,66
774,evalu,5
775,line,30
776,ass,1
777,test,20
778,day,45
779,custom,16
780,computer-gener,1
781,implement,3
782,physic,1
783,15:26:26.78,1
784,dean,8
785,food,16
786,df,1
787,strong,29
788,fourth,25
789,30,41
790,year-ago,8
791,chairman,42
792,kenneth,2
793,dougla,6
794,told,75
795,1.4,8
796,1.27,1
797,repeat,4
798,project,20
799,third-quart,1
800,probabl,9
801,slightli,13
802,rang,19
803,36,10
804,whether,16
805,anticip,4
806,enough,9
807,u,11
808,overal,5
809,1.53,3
810,1988,47
811,experi,3
812,bottom,1
813,effect,43
814,reform,30
815,alon,1
816,howard,4
817,deriv,2
818,benefit,12
819,variou,8
820,dairi,6
821,frozen,3
822,ryan,2
823,milk,12
824,larsen,1
825,decemb,49
826,elgin,1
827,blender,2
828,west,31
829,chicago,12
830,e.b.i,1
831,ltd,59
832,kingdom,1
833,licens,17
834,arrang,13
835,australia,8
836,canada,31
837,japan,53
838,provid,27
839,ann,2
840,entri,2
841,mcdonald,1
842,mcd,1
843,15:26:54.12,1
844,bonu,15
845,flour,9
846,yemen,2
847,usda,21
848,commod,22
849,corpor,23
850,ccc,12
851,accept,25
852,"37,000",1
853,ton,11
854,march-may,1
855,award,9
856,119.05,1
857,paid,19
858,inventori,9
859,pillsburi,2
860,announc,46
861,15:32:03.12,1
862,card,9
863,disclosur,3
864,bill,49
865,introduc,20
866,legisl,20
867,requir,48
868,fee,6
869,senat,37
870,hous,46
871,sen,15
872,chri,2
873,dodd,3
874,d-conn,1
875,co-sponsor,1
876,institut,33
877,disclos,9
878,inform,25
879,promot,7
880,materi,11
881,sent,3
882,issuer,2
883,solicit,1
884,intend,18
885,arm,20
886,consum,22
887,shop,4
888,best,9
889,deal,29
890,15:33:23.61,1
891,hugh,2
892,sign,27
893,pact,16
894,bear,3
895,stearn,4
896,hughes/conserdyn,1
897,bsc,1
898,banker,30
899,develop,69
900,design,21
901,instal,3
902,micro-util,1
903,municip,2
904,self-contain,1
905,electr,15
906,altern,4
907,power,41
908,sourc,48
909,photovolta,1
910,cell,7
911,replac,7
912,public,33
913,util,9
914,15:34:07.03,1
915,magma,2
916,copper,6
917,0.75,4
918,cent,13
919,newmont,1
920,mine,21
921,cut,71
922,cathod,1
923,15:34:16.30,1
924,bfdb,1
925,set,58
926,up,2
927,payout,7
928,three-for-two,3
929,cash,28
930,cite,12
931,flow,7
932,reason,18
933,rais,45
934,class,28
935,b,16
936,13,30
937,declar,13
938,quarterli,14
939,payabl,14
940,today,67
941,37,8
942,third,20
943,21.6,1
944,1.00,1
945,337,1
946,bit,4
947,66.0,1
948,second,31
949,charg,22
950,beverag,1
951,15:35:16.67,1
952,esquir,1
953,radio,12
954,electron,12
955,ee,1
956,div,34
957,72,5
958,yr,4
959,"72,000",1
960,"16,000",1
961,"7,075,000",1
962,"2,330,000",1
963,42,3
964,"203,000",1
965,"55,000",1
966,16.1,2
967,"3,971,000",1
968,stockhold,5
969,15:35:39.38,1
970,shearson,24
971,lehman,7
972,brother,10
973,american,72
974,express,22
975,axp,2
976,robert,13
977,join,5
978,merger,21
979,formerli,3
980,mer,2
981,15:36:44.78,1
982,breakthrough,4
983,venezuelan,6
984,venezuela,24
985,advisori,8
986,agre,38
987,principl,7
988,revis,21
989,21,8
990,debt-reschedul,1
991,packag,15
992,three,71
993,repres,29
994,panel,6
995,stamp,1
996,later,16
997,number,38
998,broad,4
999,amort,4
1000,schedul,23
1001,place,19
1002,reschedul,11
1003,origin,10
1004,1-1/8,3
1005,eurodollar,1
1006,request,27
1007,easy,2
1008,drop,35
1009,incom,21
1010,reduct,16
1011,repay,10
1012,1989,13
1013,rebuf,2
1014,sought,6
1015,commit,20
1016,intermitt,1
1017,10.6,4
1018,chile,4
1019,night,15
1020,citibank,3
1021,7.7,2
1022,sudden,1
1023,progress,3
1024,extent,2
1025,coincident,1
1026,acknowledg,5
1027,desir,2
1028,chalk,1
1029,quick,6
1030,success,12
1031,unilater,4
1032,suspens,3
1033,friday,18
1034,strike,21
1035,swift,1
1036,hope,10
1037,incent,6
1038,debtor,3
1039,emul,2
1040,15:36:53.42,1
1041,presidenti,7
1042,upco,1
1043,39,3
1044,50,20
1045,"1,545,160",1
1046,"2,188,933",1
1047,25.2,1
1048,19.5,1
1049,1.21,1
1050,"6,635,318",1
1051,"5,050,044",1
1052,92.2,1
1053,77.4,1
1054,adjust,31
1055,"848,600",1
1056,univers,4
1057,life,12
1058,15:38:26.23,1
1059,tower,10
1060,diminish,1
1061,reagan,38
1062,rebound,1
1063,ignor,1
1064,iran,23
1065,regain,3
1066,polit,7
1067,domin,1
1068,washington,13
1069,incompet,1
1070,privat,34
1071,stephen,3
1072,hess,2
1073,reuter,27
1074,comment,24
1075,profession,4
1076,deni,6
1077,credenti,1
1078,direct,29
1079,critic,14
1080,john,14
1081,longtim,1
1082,support,32
1083,former,13
1084,republican,19
1085,press,15
1086,confer,10
1087,clearli,3
1088,understand,1
1089,natur,22
1090,lent,4
1091,credenc,1
1092,widespread,3
1093,opinion,5
1094,full,28
1095,command,6
1096,govern,79
1097,particularli,7
1098,damag,17
1099,prepar,14
1100,choos,1
1101,three-memb,1
1102,advis,7
1103,brent,2
1104,scowcroft,1
1105,secretari,29
1106,state,70
1107,edmund,1
1108,muski,1
1109,partisan,1
1110,taint,1
1111,congress,17
1112,democrat,12
1113,parti,6
1114,strategist,5
1115,except,8
1116,sorri,1
1117,wo,2
1118,n,17
1119,work,32
1120,top,9
1121,contend,1
1122,identifi,4
1123,anvil,1
1124,brook,1
1125,polici,28
1126,studi,19
1127,blow,6
1128,upper,1
1129,bureaucraci,1
1130,undermin,1
1131,defens,10
1132,caspar,3
1133,weinberg,4
1134,georg,8
1135,shultz,10
1136,suggest,12
1137,keep,6
1138,skirt,1
1139,clean,2
1140,protect,19
1141,energet,2
1142,attempt,8
1143,consequ,3
1144,white,15
1145,chief,23
1146,staff,5
1147,donald,4
1148,regan,9
1149,central,23
1150,intellig,7
1151,agenc,22
1152,casey,3
1153,case,13
1154,resign,14
1155,fire,5
1156,shortli,3
1157,savag,2
1158,allegedli,1
1159,avoid,10
1160,chao,1
1161,process,27
1162,underw,1
1163,surgeri,1
1164,remov,9
1165,cancer,7
1166,brain,1
1167,tumor,1
1168,alreadi,24
1169,stori,1
1170,peopl,12
1171,somewhat,2
1172,short,13
1173,hero,1
1174,constitut,3
1175,forc,29
1176,veto,5
1177,difficult,13
1178,retak,1
1179,countri,78
1180,agenda,1
1181,crucial,4
1182,remain,28
1183,question,14
1184,man,3
1185,street,5
1186,forsak,1
1187,affair,8
1188,job,9
1189,twenti,1
1190,percentag,11
1191,point,30
1192,poll,3
1193,becam,4
1194,novemb,22
1195,person,9
1196,popular,5
1197,rel,8
1198,lo,3
1199,angel,2
1200,survey,5
1201,thought,5
1202,enterpris,3
1203,schneider,2
1204,among,14
1205,broker,1
1206,offset,4
1207,back,21
1208,past,22
1209,abl,4
1210,elit,1
1211,appeal,7
1212,directli,4
1213,plead,2
1214,televis,7
1215,address,9
1216,next,35
1217,warn,1
1218,dramat,5
1219,turnaround,7
1220,build,18
1221,met,4
1222,anonym,2
1223,recogn,3
1224,fix,9
1225,alway,1
1226,translat,2
1227,elect,9
1228,voter,1
1229,reject,11
1230,15:39:41.92,1
1231,realti,4
1232,previous,18
1233,home,22
1234,3.47,1
1235,associ,29
1236,realtor,1
1237,nar,2
1238,4.06,1
1239,4.15,1
1240,1978,2
1241,surpris,7
1242,consid,23
1243,near-record,1
1244,pace,3
1245,seller,1
1246,seek,35
1247,get,25
1248,favor,10
1249,treatment,5
1250,law,26
1251,tuccillo,1
1252,15:41:56.54,1
1253,mutual,6
1254,fund,69
1255,720.4,2
1256,blah,30
1257,15:43:14.36,1
1258,writer,2
1259,estat,12
1260,curb,10
1261,6.7,2
1262,thru,1
1263,1991,9
1264,15:43:59.53,1
1265,alan,2
1266,cranston,6
1267,d-cal,2
1268,evan,7
1269,r-wash,2
1270,save,18
1271,dollar,58
1272,emphasi,2
1273,two-fold,2
1274,decontrol,2
1275,de-licens,2
1276,item,8
1277,action,28
1278,endang,2
1279,elimin,11
1280,de,19
1281,facto,2
1282,65,6
1283,70,7
1284,convinc,2
1285,ration,2
1286,boost,13
1287,eastern,7
1288,bloc,3
1289,access,8
1290,militari,10
1291,capabl,5
1292,refocus,2
1293,resourc,23
1294,truli,2
1295,prevent,9
1296,diver,4
1297,adversari,2
1298,play,4
1299,role,6
1300,unduli,2
1301,restrict,12
1302,firm,46
1303,world,59
1304,market-plac,2
1305,15:44:36.04,1
1306,excelan,4
1307,"2,129,300",1
1308,1.6,5
1309,"529,300",1
1310,manufactur,22
1311,computer-rel,1
1312,15:45:19.65,1
1313,ccx,2
1314,ccxn,1
1315,secondari,5
1316,underway,3
1317,"220,838",1
1318,15.75,1
1319,though,7
1320,underwrit,19
1321,cazenov,1
1322,behalf,2
1323,15:45:26.55,1
1324,union,42
1325,func,1
1326,subordin,15
1327,1997,4
1328,nationwid,3
1329,15:45:35.37,1
1330,owen,1
1331,minor,2
1332,obod,1
1333,qtli,24
1334,eight,31
1335,15:45:39.20,1
1336,languag,5
1337,research,19
1338,clri,1
1339,18,17
1340,"3,035,000",1
1341,"2,516,000",1
1342,20.9,3
1343,19.6,2
1344,"215,000",1
1345,"4,647,000",1
1346,93.4,1
1347,98.7,1
1348,17,12
1349,15:45:47.29,1
1350,cinram,1
1351,58,1
1352,1.1,4
1353,"829,000",1
1354,9.4,3
1355,"2,332,397",2
1356,"1,428,000",2
1357,1.22,3
1358,2.9,3
1359,1.5,14
1360,25.7,1
1361,22.2,1
1362,15:46:36.16,1
1363,du,7
1364,pont,6
1365,dd,2
1366,launch,20
1367,aramid,4
1368,fiber,4
1369,devlop,1
1370,high-strength,1
1371,stiffer,2
1372,less,20
1373,absorb,4
1374,previou,23
1375,kevlar,2
1376,149,1
1377,half,23
1378,moister,1
1379,invent,1
1380,1960,1
1381,aluminum,1
1382,wieght,1
1383,basi,25
1384,metal,3
1385,varieti,3
1386,accord,49
1387,15:47:16.17,1
1388,trustco,3
1389,"9,140,000",1
1390,2.52,1
1391,stabl,3
1392,grow,11
1393,economi,35
1394,growth,72
1395,brian,3
1396,o'malley,1
1397,1.28,2
1398,1.10,2
1399,18.6,2
1400,15:48:26.92,1
1401,handi,1
1402,harman,1
1403,hnh,1
1404,51,12
1405,"7,041,000",1
1406,"467,000",1
1407,138.9,1
1408,131.4,1
1409,64,8
1410,46,7
1411,"8,843,000",1
1412,"6,306,0000",1
1413,558.9,1
1414,556.7,1
1415,2.6,4
1416,special,15
1417,2.7,2
1418,15:49:27.16,1
1419,ico,11
1420,produc,57
1421,present,25
1422,coffe,31
1423,organ,7
1424,reintroduc,2
1425,quota,26
1426,undertak,3
1427,tri,10
1428,negoti,42
1429,septemb,20
1430,distribut,21
1431,deleg,4
1432,unchang,4
1433,shortfal,3
1434,redistribut,1
1435,resumpt,2
1436,contact,3
1437,postpon,3
1438,tomorrow,11
1439,15:49:44.93,1
1440,scandal,8
1441,scar,1
1442,attract,4
1443,harsh,1
1444,travel,5
1445,china,28
1446,week-long,1
1447,visit,7
1448,refus,3
1449,left,7
1450,do,8
1451,crisi,8
1452,broke,2
1453,wipe,1
1454,slate,2
1455,15:49:56.01,1
1456,mclean,5
1457,mii,2
1458,transfer,12
1459,south,34
1460,charter,2
1461,crowley,2
1462,mariotim,1
1463,transport,11
1464,contract,48
1465,within,20
1466,subject,17
1467,regulatori,7
1468,bodi,4
1469,bankruptci,11
1470,court,13
1471,15:51:17.84,1
1472,chemlawn,11
1473,chem,2
1474,wast,10
1475,wnx,1
1476,wall,4
1477,arbitrageur,3
1478,shot,1
1479,11-5/8,1
1480,29-3/8,1
1481,over-the-counter-,1
1482,3.8,3
1483,10.1,2
1484,mayb,2
1485,32,6
1486,depend,15
1487,compet,3
1488,bidder,1
1489,tender,17
1490,expir,12
1491,debra,1
1492,strohmaier,1
1493,spokeswoman,4
1494,regularli,1
1495,discus,22
1496,readi,8
1497,unabl,4
1498,offici,84
1499,think,7
1500,resist,4
1501,elliott,1
1502,schlang,5
1503,prescott,1
1504,ball,1
1505,turben,1
1506,attack,7
1507,find,10
1508,knight,1
1509,want,24
1510,rosemari,1
1511,morbelli,3
1512,ingal,1
1513,snyder,1
1514,servicemast,1
1515,svm,1
1516,rollin,1
1517,rol,1
1518,exampl,3
1519,fertil,2
1520,pesticid,1
1521,herbicid,2
1522,lawn,3
1523,base,32
1524,valuabl,1
1525,anoth,23
1526,residenti,4
1527,commerci,20
1528,catapult,1
1529,mid-30,1
1530,1983,7
1531,languish,1
1532,slow,16
1533,concentr,6
1534,2.58,1
1535,individu,8
1536,entrepreu,1
1537,garden,2
1538,care,6
1539,sevic,1
1540,15:51:28.42,1
1541,sugar,10
1542,import,72
1543,"5,988",1
1544,versu,5
1545,"46,254",1
1546,january-decemb,1
1547,"1,001,430",1
1548,compar,66
1549,"1,850,000",1
1550,extend,21
1551,actual,6
1552,weight,2
1553,polar,1
1554,data,31
1555,accordingli,1
1556,15:51:51.24,1
1557,anti-infl,1
1558,limp,2
1559,anniversari,2
1560,inflat,15
1561,hail,1
1562,abroad,5
1563,saviour,1
1564,toward,11
1565,amid,1
1566,soar,4
1567,shortag,11
1568,froze,1
1569,valu,36
1570,index,19
1571,halt,8
1572,250,7
1573,collaps,5
1574,situat,13
1575,wors,1
1576,economist,10
1577,crumbl,1
1578,accompani,2
1579,revers,4
1580,account,39
1581,surplus,7
1582,suffici,4
1583,need,30
1584,109,1
1585,target,16
1586,monthli,3
1587,divert,2
1588,domest,29
1589,surplu,25
1590,plung,2
1591,211,1
1592,octob,10
1593,150,17
1594,15:52:15.10,1
1595,n.z,7
1596,zealand,3
1597,7.15,1
1598,7.20,1
1599,3.03,2
1600,ago,32
1601,statist,10
1602,bulletin,1
1603,15:52:25.60,1
1604,ship,22
1605,panama,2
1606,canal,3
1607,daili,17
1608,backlog,8
1609,2/26,1
1610,2/27,1
1611,transit,3
1612,41,3
1613,end-day,1
1614,super,1
1615,tanker,1
1616,regular,9
1617,vessel,8
1618,hr,4
1619,4,5
1620,15:52:33.04,1
1621,feder,51
1622,guarante,18
1623,71.6,1
1624,67.62,1
1625,3.98,1
1626,15:52:57.49,1
1627,eye,2
1628,big,17
1629,conserv,15
1630,governor,3
1631,member,21
1632,explor,14
1633,expand,12
1634,acr,30
1635,erod,3
1636,land,8
1637,enrol,6
1638,1990,4
1639,task,5
1640,farm,29
1641,rural,1
1642,head,17
1643,leader,12
1644,dole,2
1645,kan,3
1646,draft,2
1647,charl,2
1648,grassley,1
1649,r-iowa,1
1650,67,2
1651,15:53:05.48,1
1652,arvin,2
1653,ind,2
1654,arv,1
1655,l.k,1
1656,succeed,5
1657,jame,9
1658,baker,17
1659,execut,23
1660,15:53:54.56,1
1661,emhart,1
1662,emh,1
1663,15:54:55.20,1
1664,spend,14
1665,slowdown,6
1666,durabl,3
1667,order,48
1668,presag,1
1669,lacklust,1
1670,real,15
1671,volatil,2
1672,sector,25
1673,9.9,3
1674,paint,1
1675,bleak,1
1676,pictur,4
1677,stress,4
1678,primari,4
1679,behind,3
1680,rather,7
1681,gloomi,1
1682,david,4
1683,wy,4
1684,impress,3
1685,19.7,3
1686,non-defens,1
1687,react,4
1688,advers,3
1689,14.8,2
1690,machineri,7
1691,offic,31
1692,equip,12
1693,respons,14
1694,lengthen,1
1695,depreci,2
1696,reinforc,2
1697,5.1,2
1698,upward,2
1699,0.9,1
1700,huge,4
1701,caus,20
1702,wash-out,1
1703,far,10
1704,great,5
1705,sullivan,2
1706,witter,3
1707,reynold,2
1708,weaken,4
1709,bent,1
1710,definit,11
1711,sluggish,5
1712,coupl,5
1713,maud,3
1714,midland,3
1715,montagu,3
1716,evid,4
1717,0.6,5
1718,0.7,2
1719,pipelin,14
1720,deplet,1
1721,caution,1
1722,give,55
1723,strength,5
1724,despit,14
1725,57.7,2
1726,6.9,3
